"","average","sd","ratio","ava","avb","cumsum","p"
"d__Bacteria.k__.p__Firmicutes.__.__.__",0.122431056427662,0.0938034224663153,1.30518752097374,3213.2,2692.2,0.307584898420346,0.194
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae",0.120220619431481,0.0753926246063742,1.59459390171325,935.4,601.4,0.609616491504829,0.847
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae",0.0694314806957997,0.102009300544666,0.680638729263691,240.4,766.2,0.784049969089087,0.707
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Phormidiaceae",0.0181798896902843,0.0223499836314821,0.813418478959249,0,171.4,0.829723507216099,0.009
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Endozoicomonadaceae",0.00957573186253712,0.015836123184481,0.604676520319134,89,11.2,0.853780724381249,0.827
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cardiobacteriales.f__Cardiobacteriaceae",0.00918540517607128,0.00974350467594915,0.942720867035094,86.6,0,0.876857319490929,0.001
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae",0.00725498515061519,0.00582443887117128,1.24561100409596,4.4,72.8,0.895084099000192,0.887
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae",0.00460755197284684,0.00523261766746981,0.880544359564261,11.2,52.4,0.906659702828881,0.805
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae",0.00428510818837505,0.00281177686504276,1.523985861627,0,40.4,0.91742522756827,0.365
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae",0.00332201951633432,0.0020887666651179,1.59042154962139,39.6,53.8,0.925771173975143,0.911
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae",0.00324565125159101,0.000756231425406853,4.29187566470785,0.8,31.4,0.933925259545077,0.948
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Geitlerinemaceae",0.0022274077216801,0.00303111798180637,0.734846922834953,0,21,0.939521200622482,0.15
