"","average","sd","ratio","ava","avb","cumsum","p"
"d__Bacteria.k__.p__Firmicutes.__.__.__.__",0.122431056427662,0.0938034224663153,1.30518752097374,3213.2,2692.2,0.302503302094471,0.201
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__Mycoplasma",0.120161221892236,0.07541934448354,1.59324139867671,933.8,601,0.599398285007443,0.638
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio",0.0692151039456937,0.102020085411238,0.678445853742338,238.6,761,0.770415330104619,0.686
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Phormidiaceae.g__Arthrospira_PCC.7345",0.0107339838778108,0.019340323465309,0.555005395699015,0,101.2,0.796936914271338,0.042
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cardiobacteriales.f__Cardiobacteriaceae.g__uncultured",0.00918540517607128,0.00974350467594915,0.942720867035094,86.6,0,0.819632261987127,0.001
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Endozoicomonadaceae.g__Kistimonas",0.00899024183283835,0.0161368737507288,0.557124135177195,78.4,10.6,0.841845399081703,0.006
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Phormidiaceae.g__Lyngbya_PCC.7419",0.00647008909630887,0.0103496916372964,0.625148006631722,0,61,0.857831729458876,0.001
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Persicobacter",0.00446754348748409,0.00530258444456723,0.84252189365156,11,50,0.868870159548819,0.678
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.__",0.00405176071277047,0.00397880995238668,1.01833481901794,1.4,39.6,0.878881271358786,0.914
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae.g__Chroococcidiopsis_PCC.6712",0.00260924904539669,0.00120663392353143,2.1624197650272,0,24.6,0.885328217707613,0.102
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Geitlerinemaceae.g__Geitlerinema_PCC.7105",0.0022274077216801,0.00303111798180637,0.734846922834953,0,21,0.890831708493197,0.14
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.__",0.00208739923631735,0.00212987957591569,0.980055050962176,20,1.6,0.895989265572258,0.453
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Erythrobacter",0.00180313958421723,0.00197010772390822,0.915249233498881,0,17,0.900444472398683,0.038
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__uncultured.g__",0.00178192617734408,0.00142237962734348,1.25277819162253,20.8,7.2,0.904847265027151,0.757
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Phormidesmiales.f__Phormidesmiaceae.g__Phormidium_MBIC10003",0.00176071277047094,0.0015531367507865,1.13364954475472,0,16.6,0.90919764345766,0.159
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.__",0.00168434450572762,0.00155955815858571,1.08001391064189,16.6,2.4,0.91335933077552,0.172
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Rubripirellula",0.00158252015273653,0.00098406355158038,1.60814832557821,14.2,20.4,0.917269429943183,0.618
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Rhodopirellula",0.0015485787017395,0.000546871315876751,2.83170584519833,1.2,15.8,0.921095666394113,0.551
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.__",0.00131523122613492,0.000873041877023458,1.50649271329235,0,12.4,0.924345346667505,0.476
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Endozoicomonadaceae.g__Endozoicomonas",0.00113703860840051,0.0019436428316942,0.585003885415202,10.6,0.6,0.927154747678051,0.98
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingomicrobium",0.00110309715740348,0.000914988282746962,1.20558610225235,0,10.4,0.929880285971864,0.398
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Actibacter",0.00107339838778108,0.00159551287233423,0.672760719385923,0.8,10.6,0.932532444388536,0.012
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicimonas",0.00106067034365719,0.000762404845596373,1.3912166872805,0,10,0.935153154286433,0.001
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Phormidiaceae.g__Trichodesmium_IMS101",0.000975816716164616,0.00153002692788148,0.637777478541349,0,9.2,0.937564207392499,0.023
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Ruegeria",0.000937632583792957,0.000973411872558744,0.96324342267191,3,9.6,0.93988091494224,0.084
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Blastopirellula",0.000924904539669071,0.000858160314220144,1.07777594039592,2.6,8.6,0.942166173973206,0.639
"d__Bacteria.k__.__.__.__.__.__",0.000848536274925753,0.00126430540559601,0.671148182369547,0,8,0.944262741891524,0.678
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.__.__",0.000810352142554094,0.000550187064458405,1.47286658466206,9,15.6,0.946264964253517,0.915
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__uncultured",0.000810352142554094,0.000847917324817394,0.95569711673082,1.2,8.2,0.94826718661551,0.374
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Gimesiaceae.g__uncultured",0.000763682647433178,0.000504980089700385,1.51230249075025,0,7.2,0.950154097741996,0.001
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__DEV007.g__",0.00072125583368689,0.000813564806887558,0.886537652047889,0.6,7.4,0.951936180472566,0.295
"d__Bacteria.k__.p__SAR324_clade.Marine_group_B..c__.o__.f__.g__",0.000666100975816716,0.000868476808298712,0.76697612354389,6,1.4,0.953581986288446,0.164
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.__",0.000627916843445057,0.000696147825570136,0.90198779681715,1,6.6,0.955133446548001,0.927
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae.g__Pleurocapsa_PCC.7319",0.0006194314806958,0.00118968573432406,0.52066815867784,0.2,5.8,0.956663941128373,0.983
"d__Bacteria.k__.p__Fusobacteriota.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Psychrilyobacter",0.00058549002969877,0.000372646163852299,1.57116880969915,4.2,6.2,0.958110572992012,0.556
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Photobacterium",0.000547305897327111,0.00066990380460917,0.816991773388145,0.2,5.2,0.959462859299327,0.378
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.__",0.000534577853203224,0.000487485443859273,1.09660269847472,6.2,1.8,0.960783697087867,0.92
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__HOC36.f__.g__",0.000487908358082308,0.000591349479694447,0.825076160267212,0,4.6,0.9619892236409,0.69
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Pir4_lineage",0.000475180313958422,0.000408644959447295,1.16281946705306,0.8,4.8,0.963163301675158,0.473
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.__.__.__",0.00044548154433602,0.00090933539454191,0.489897948556636,4.2,0,0.964263999832275,0.776
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Pseudahrensia",0.000441238862961392,0.000519331467316604,0.849628591237272,0.2,4.2,0.9653542151498,0.765
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.__.__.__",0.000415782774713619,0.000402635827240185,1.03265220475671,4,0.8,0.966381533429776,0.965
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Oxyphotobacteria_Incertae_Sedis.f__Unknown_Family.g__uncultured",0.000381841323716589,0.00051962022545252,0.734846922834953,0,3.6,0.967324988993019,0.001
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Thermosynechococcales.f__Thermosynechococcaceae.g__Synechococcus_IR11",0.000381841323716589,0.000629738125108078,0.606349383167894,0,3.6,0.968268444556261,0.003
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Roseibacterium",0.000360627916843445,0.000325483535559362,1.10797591105088,0,3.4,0.969159485921547,0.001
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Limibaculum",0.000339414509970301,0.000445818137919619,0.761329522289418,0,3.2,0.969998113088874,0.111
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.__.__.__",0.000318201103097157,0.00049371517620453,0.64450338663549,0,3,0.970784326058243,0.302
"d__Bacteria.k__.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.__.__",0.000296987696224014,0.000606223596361273,0.489897948556636,0,2.8,0.971518124829654,0.201
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Oscillatoriaceae.g__uncultured",0.000296987696224014,0.000500317200469697,0.593598812803562,0,2.8,0.972251923601065,0.237
