"","average","sd","ratio","ava","avb","cumsum","p"
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae",0.133299745439118,0.110786581806054,1.20321200696015,131.25,1388,0.201434524763584,0.001
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae",0.116657827747136,0.123030065793376,0.948205847041146,1592.75,755.6,0.377720788587915,0.392
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae",0.0888735680950361,0.0697668123600863,1.2738659699161,124,925.8,0.512021157236737,0.007
"d__Bacteria.k__.p__Actinobacteriota.c__Rubrobacteria.o__Rubrobacterales.f__Rubrobacteriaceae",0.0578648705982181,0.0363625313489036,1.59133229870596,680.25,339.6,0.599463054976759,0.001
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae",0.0305313958421723,0.010118985547952,3.01723880298965,407.25,119.4,0.645600256451354,0.001
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae",0.0265750954603309,0.0271220135451966,0.97983490112361,305.75,85.2,0.685758935726879,0.502
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae",0.0228574459058125,0.0142027096371283,1.60937218951934,250.5,46,0.720299727520436,0.004
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Rubritaleaceae",0.0204338141705558,0.0195661572754864,1.04434477771251,130.25,181.6,0.7511780734092,0.004
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae",0.0184874840899448,0.0164934139713213,1.12090099248651,21,190.6,0.779115242827376,0.011
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__uncultured",0.0123674162070429,0.00661434821242928,1.86978607866498,148,31.4,0.797804135278089,0.004
"d__Bacteria.k__.p__Deinococcota.c__Deinococci.o__Deinococcales.f__Trueperaceae",0.0121234620280017,0.0101779625212708,1.19114822860322,39,135.4,0.816124378906876,0.006
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Alphaproteobacteria_Incertae_Sedis.f__Unknown_Family",0.0109142978362325,0.0136259000863393,0.800996467541596,103,0.2,0.832617406635679,0.004
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae",0.00827322868052609,0.00718533343417876,1.15140497741865,76.5,61,0.845119410161885,0.03
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae",0.00800275774289351,0.00669541093393951,1.1952601299387,83.25,24.4,0.857212694342042,0.516
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Parvibaculales.f__PS1_clade",0.00795502757742893,0.0137365700224136,0.579113094786319,75,0.4,0.869233851578779,0.002
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.__",0.00724437844717862,0.00765913155621919,0.9458485461444,78.5,23.4,0.880181118769033,0.27
"d__Bacteria.k__.__.__.__.__",0.00583368689011455,0.00770536940815262,0.757093733097632,0,55,0.888996634075974,0.179
"d__Bacteria.k__.p__Bacteroidota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae",0.00486847687738651,0.00460537717276795,1.057128807207,4.5,49,0.896353582304857,0.006
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae",0.00483665676707679,0.0038670126472034,1.25074759467741,46,0.4,0.903662445904792,0.08
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.__",0.00424268137462877,0.00179507622283659,2.36351042961532,25.5,51,0.910073729764385,0.336
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.__.__",0.00423207467119219,0.00535356838463483,0.790514730948162,41,11,0.916468985414329,0.353
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Phormidiaceae",0.00363279592702588,0.00645564777150475,0.562731433871138,34.25,0,0.921958647219106,0.368
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.__.__",0.00329338141705558,0.00424958058944249,0.774989754338945,26.25,9.6,0.926935406315115,0.274
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__HOC36.f__",0.00281077641069156,0.00418627227982106,0.671427041246276,27,1,0.931182881872095,0.306
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae",0.00257212558336869,0.000482851860415956,5.32694557944318,24.25,0,0.935069722711973,1
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Hyphomonadaceae",0.0024554518455664,0.00176422521765865,1.39180180681529,0.25,23.4,0.938780253245713,0.011
"d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Caldilineales.f__Caldilineaceae",0.00224862112855325,0.0020438936315533,1.10016543612612,1.5,22.2,0.942178233691297,0.12
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Flammeovirgaceae",0.00218498090793381,0.00368688253419814,0.59263643136627,0,20.6,0.945480044878987,0.366
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Microcystaceae",0.00212134068731438,0.00376972132642613,0.562731433871138,20,0,0.948685686808784,0.018
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Synechococcales.f__Cyanobiaceae",0.00208952057700467,0.00179873389770591,1.16166186653269,9.5,18.8,0.951843244109633,0.538
"d__Bacteria.k__.p__Myxococcota.c__Polyangia.o__Polyangiales.f__Sandaracinaceae",0.00183495969452694,0.00315042492483222,0.582448316753545,17,0.6,0.954616124378907,0.071
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Gemmatales.f__Gemmataceae",0.00156979210861264,0.0016065972643156,0.977091237162888,15,1,0.956988299406956,0.02
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__uncultured.f__",0.00148493848112007,0.00107398471854663,1.38264395710356,9.5,16.4,0.959232248757814,0.284
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae",0.00139478150190921,0.00137834530541354,1.01192458553826,12.75,6,0.961339958326655,0.547
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Rubinisphaeraceae",0.00114022061943148,0.00158704633584913,0.718454523775084,10.75,1.2,0.963062990863921,0.248
"d__Bacteria.k__.p__Chloroflexi.c__Chloroflexia.o__Thermomicrobiales.f__JG30.KF.CM45",0.00111370386084005,0.00116572194059988,0.955376940290698,10.5,0,0.964745952877064,0.001
