"","average","sd","ratio","ava","avb","cumsum","p"
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Persicobacter",0.127953966907085,0.11538204622197,1.10895907202868,89.75,1277.2,0.187176105508146,0.003
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio",0.116350233347476,0.123401389896617,0.942859990839254,1592.75,748.6,0.357377812257564,0.416
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae.g__Pleurocapsa_PCC.7319",0.0853574459058125,0.0663627013964864,1.28622621004894,118.75,888.8,0.482242048099302,0.003
"d__Bacteria.k__.p__Actinobacteriota.c__Rubrobacteria.o__Rubrobacterales.f__Rubrobacteriaceae.g__Rubrobacter",0.0578648705982181,0.0363625313489036,1.59133229870596,680.25,339.6,0.56688906128782,0.002
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Rhodopirellula",0.0179571489181162,0.014273764112885,1.25805280065587,198.5,29.2,0.593157486423584,0.001
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.__",0.0160691557064064,0.0141310297229229,1.13715391032966,176,35.8,0.6166640806827,0.002
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Jannaschia",0.0156236741620704,0.0244287952645617,0.639559748766462,151,9.6,0.639519006982157,0.008
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Rubritaleaceae.g__Rubritalea",0.0131629189647857,0.0130775874451162,1.00652502000293,56,118.8,0.65877424359969,0.008
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__uncultured.g__",0.0123674162070429,0.00661434821242928,1.86978607866498,148,31.4,0.676865787432118,0.007
"d__Bacteria.k__.p__Deinococcota.c__Deinococci.o__Deinococcales.f__Trueperaceae.g__Truepera",0.0121234620280017,0.0101779625212708,1.19114822860322,39,135.4,0.694600465477114,0.004
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Alphaproteobacteria_Incertae_Sedis.f__Unknown_Family.g__Acuticoccus",0.0107286805260925,0.0133037997868289,0.80643731099397,101.25,0.2,0.710294802172226,0.002
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Parvibaculales.f__PS1_clade.g__",0.00795502757742893,0.0137365700224136,0.579113094786319,75,0.4,0.721931730023274,0.006
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae.g__Lewinella",0.00775350021213407,0.006696686504444,1.15781143510134,20,84,0.733273855702095,0.002
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Rubritaleaceae.g__DBS1",0.00766864658464149,0.00598959766538098,1.28032749661387,55,62.8,0.744491854150504,0.011
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae.g__uncultured",0.00742999575731863,0.00647274022901439,1.14789030525484,0.75,70.8,0.755360744763382,0.168
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.__.__",0.00724437844717862,0.00765913155621919,0.9458485461444,78.5,23.4,0.765958107059736,0.263
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.__",0.00698451421298261,0.00439342044896948,1.58976685571282,93.75,71.4,0.776175329712956,0.011
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Rubripirellula",0.00684662706830717,0.00420123490397736,1.6296701386122,79.75,15.2,0.786190845616757,0.003
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.__",0.00636402206194315,0.00709744526756094,0.896663774362597,80.5,38,0.795500387897595,0.807
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Tunicatimonas",0.00625795502757743,0.00659395993591946,0.949043532019098,16.5,66,0.804654771140419,0.004
"d__Bacteria.k__.__.__.__.__.__",0.00583368689011455,0.00770536940815262,0.757093733097632,0,55,0.813188518231187,0.168
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Euzebyella",0.00549957573186254,0.00458726128578805,1.19887998289981,54.75,9.6,0.821233514352211,0.001
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Haematospirillum",0.00483665676707679,0.0038670126472034,1.25074759467741,46,0.4,0.828308766485648,0.093
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.__",0.00467755621552821,0.00421002380971877,1.11105219992584,34.5,43,0.835151280062064,0.011
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.__.__",0.00424268137462877,0.00179507622283659,2.36351042961532,25.5,51,0.841357641582622,0.378
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.__.__.__",0.00423207467119219,0.00535356838463483,0.790514730948162,41,11,0.847548487199379,0.348
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae.g__Rubidimonas",0.00370704285108188,0.00381895206310218,0.970696355918805,0.25,35.2,0.852971295577967,0.001
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Phormidiaceae.g__Arthrospira_PCC.7345",0.00363279592702588,0.00645564777150475,0.562731433871138,34.25,0,0.858285492629946,0.279
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.__.__.__",0.00329338141705558,0.00424958058944249,0.774989754338945,26.25,9.6,0.863103180760279,0.269
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__HOC36.f__.g__",0.00281077641069156,0.00418627227982106,0.671427041246276,27,1,0.867214895267649,0.349
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__uncultured",0.0027577428935087,0.00354317041310164,0.778326349562908,26,2,0.871249030256012,0.158
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.__",0.00263046245226983,0.00186420247447479,1.41103903051675,25,37.4,0.875096974398759,0.024
"d__Bacteria.k__.p__Bacteroidota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.g__uncultured",0.00261985574883326,0.00342766631930012,0.764326368083634,4.5,27,0.878929402637704,0.039
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Pseudaminobacter",0.00257212558336869,0.00457078710829168,0.562731433871138,24.25,0,0.882692009309542,0.005
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae.g__uncultured",0.0024183283835384,0.00192391252780905,1.25698458146244,0,22.8,0.886229635376261,0.082
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Pir4_lineage",0.00228044123886296,0.00346365050732626,0.658392419800845,21.5,2.6,0.889565554693561,0.055
