,average,sd,ratio,ava,avb,cumsum,p
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae,0.354094188,0.059948427,5.906646826,83,3421.4,0.396744659,0.001
d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae,0.165994909,0.097056427,1.710292803,1842.4,310.6,0.582733574,0.563
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.__.__,0.063661434,0.090195971,0.70581239,600.6,0.4,0.654062996,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Endozoicomonadaceae,0.032672889,0.035869278,0.910887835,24.8,326.6,0.690671319,0.469
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Synechococcales.f__Cyanobiaceae,0.022146797,0.024746108,0.8949608,15.2,224,0.715485687,0.001
d__Bacteria.k__.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae,0.019346627,0.008065339,2.398737147,183.6,1.2,0.737162605,0.812
d__Bacteria.k__.__.__.__.__,0.016504031,0.02944193,0.560562112,155.6,0,0.755654538,0.058
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae,0.016164616,0.008420202,1.919742131,162.8,10.4,0.773766174,0.401
d__Bacteria.k__.p__Firmicutes.c__Bacilli.__.__,0.012163768,0.019215406,0.633021631,0.2,114.8,0.787395062,0.346
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Kangiellaceae,0.011985575,0.023925798,0.500947767,113,0,0.800824293,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae,0.010861264,0.008494363,1.278643825,104,1.6,0.812993792,0.211
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__HOC36.f__,0.010691557,0.018953999,0.564079225,100.8,0,0.824973142,0.043
d__Bacteria.k__.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae,0.00971574,0.011470779,0.846999166,91.6,0,0.835859138,0.001
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae,0.006126432,0.004305773,1.422841379,69.8,12.6,0.842723496,0.618
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Arenicellales.f__Arenicellaceae,0.005048791,0.00446606,1.13047976,48.2,0.6,0.848380411,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__uncultured.f__,0.00479423,0.003578223,1.339835261,45.2,0,0.853752104,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.__,0.00468392,0.005192564,0.902043877,0.4,44.4,0.8590002,0.001
d__Bacteria.k__.p__Patescibacteria.c__Parcubacteria.o__Candidatus_Campbellbacteria.f__,0.004238439,0.007057675,0.600543171,0.4,40.2,0.863749156,0.001
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Caldilineales.f__Caldilineaceae,0.004221468,0.00302601,1.39506069,40,0.2,0.868479098,0.002
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.__.__,0.003920238,0.002211033,1.773034077,6,41.6,0.872871526,0.541
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methyloligellaceae,0.003903267,0.003238231,1.205370192,37.6,0.8,0.87724494,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Steroidobacterales.f__Woeseiaceae,0.003831141,0.003820907,1.002678505,36.6,0.8,0.88153754,0.001
d__Bacteria.k__.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae,0.003754773,0.004589059,0.818201001,35.4,0,0.885744574,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae,0.003585066,0.002847724,1.258923294,35.2,1.4,0.889761459,0.999
d__Bacteria.k__.p__Nitrospirota.c__Nitrospiria.o__Nitrospirales.f__Nitrospiraceae,0.003075944,0.004474449,0.687446386,29,0,0.893207899,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Thalassobaculales.f__uncultured,0.003012304,0.00363747,0.828131477,28.4,0,0.896583033,0.001
d__Bacteria.k__.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__uncultured,0.002940178,0.004281562,0.686706841,28.2,0.8,0.899877354,0.002
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae,0.002914722,0.002473341,1.178455262,29.4,2.8,0.903143153,0.643
d__Bacteria.k__.p__Acidobacteriota.c__Thermoanaerobaculia.o__Thermoanaerobaculales.f__Thermoanaerobaculaceae,0.002885023,0.003244305,0.889257764,27.2,0,0.906375676,0.004
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae,0.002821383,0.002658385,1.061314733,29,3.2,0.909536894,0.744
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.__,0.002821383,0.004812433,0.586269648,26.6,0,0.912698111,0.02
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae,0.002778956,0.004735253,0.586865477,26.2,0,0.915811791,0.001
d__Bacteria.k__.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Microtrichaceae,0.002694103,0.003549418,0.759026644,25.4,0,0.918830397,0.012
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__UBA10353_marine_group.f__,0.002651676,0.002384543,1.112026736,25.6,1,0.921801466,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.__.__,0.00256258,0.00260633,0.983213828,6.4,28.8,0.924672707,0.361
