,average,sd,ratio,ava,avb,cumsum,p
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.__,0.35859143,0.059981236,5.978393456,35.4,3416.2,0.393863704,0.001
d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__Mycoplasma,0.088633857,0.055190227,1.605970149,1104.2,308.4,0.491215889,0.833
d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__uncultured,0.078065337,0.060427219,1.291890289,738.2,2.2,0.576959999,0.416
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.__.__.__,0.063661434,0.090195971,0.70581239,600.6,0.4,0.646883388,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Endozoicomonadaceae.g__Endozoicomonas,0.032672889,0.035869278,0.910887835,24.8,326.6,0.682770094,0.47
d__Bacteria.k__.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__uncultured,0.018285957,0.007069124,2.586735708,172.4,0,0.70285472,0.509
d__Bacteria.k__.__.__.__.__.__,0.016504031,0.02944193,0.560562112,155.6,0,0.720982143,0.069
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Synechococcales.f__Cyanobiaceae.g__Synechococcus_CC9902,0.016016122,0.018559357,0.862967516,9.4,160.4,0.738573665,0.001
d__Bacteria.k__.p__Firmicutes.c__Bacilli.__.__.__,0.012163768,0.019215406,0.633021631,0.2,114.8,0.751933902,0.369
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Kangiellaceae.g__Aliikangiella,0.011794654,0.023806025,0.495448292,111.2,0,0.764888719,0.003
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__HOC36.f__.g__,0.010691557,0.018953999,0.564079225,100.8,0,0.776631934,0.039
d__Bacteria.k__.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.__,0.00971574,0.011470779,0.846999166,91.6,0,0.787303348,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae.g__uncultured,0.006784048,0.00531399,1.276639077,65.4,1.6,0.794754697,0.16
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Synechococcales.f__Cyanobiaceae.g__Cyanobium_PCC.6307,0.00637675,0.00615435,1.036137024,5.8,63.6,0.801758686,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Maribacter,0.006236742,0.005746821,1.085250812,58.8,0,0.808608895,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__uncultured.f__.g__,0.00479423,0.003578223,1.339835261,45.2,0,0.813874702,0.002
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.__.__,0.00468392,0.005192564,0.902043877,0.4,44.4,0.819019348,0.001
d__Bacteria.k__.p__Patescibacteria.c__Parcubacteria.o__Candidatus_Campbellbacteria.f__.g__,0.004238439,0.007057675,0.600543171,0.4,40.2,0.823674694,0.001
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Caldilineales.f__Caldilineaceae.g__uncultured,0.004221468,0.00302601,1.39506069,40,0.2,0.8283114,0.002
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.__.__.__,0.003920238,0.002211033,1.773034077,6,41.6,0.832617246,0.523
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Steroidobacterales.f__Woeseiaceae.g__Woeseia,0.003831141,0.003820907,1.002678505,36.6,0.8,0.836825231,0.002
d__Bacteria.k__.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.g__Blastocatella,0.003754773,0.004589059,0.818201001,35.4,0,0.840949336,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio,0.003487484,0.002738523,1.273491049,34.2,1.4,0.844779861,0.996
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methyloligellaceae.g__Rhodobium,0.003415359,0.003352317,1.018805409,32.2,0,0.848531166,0.001
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Blastopirellula,0.003245651,0.001708909,1.899253887,33.2,2.6,0.852096071,0.002
