sample-id	sample-name	location	date	time	species	species_allknown	speciesname_only	subclass	group	group_allknown	single_zone	reference_single_zone	feeding_strategies	reference_feeding	dietary_niche	reference_niche
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical 	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
HB1	HB1	HK	14.07.2019	1345	HB.Mytilisepta.virgata.HK	HB.Mytilisepta.virgata.HK	Mytilisepta.virgata	Autobranchia	bivalves	bivalves	Low	Morton_etal_1983	filter_feeder	Morton_1995	Suspension_particles	Taylor_etal_1993
HB2	HB2	HK	14.07.2019	1345	HB.Mytilisepta.virgata.HK	HB.Mytilisepta.virgata.HK	Mytilisepta.virgata	Autobranchia	bivalves	bivalves	Low	Morton_etal_1983	filter_feeder	Morton_1995	Suspension_particles	Taylor_etal_1993
HB3	HB3	HK	14.07.2019	1345	HB.Mytilisepta.virgata.HK	HB.Mytilisepta.virgata.HK	Mytilisepta.virgata	Autobranchia	bivalves	bivalves	Low	Morton_etal_1983	filter_feeder	Morton_1995	Suspension_particles	Taylor_etal_1993
HB4	HB4	HK	14.07.2019	1345	HB.Mytilisepta.virgata.HK	HB.Mytilisepta.virgata.HK	Mytilisepta.virgata	Autobranchia	bivalves	bivalves	Low	Morton_etal_1983	filter_feeder	Morton_1995	Suspension_particles	Taylor_etal_1993
HB5	HB5	HK	14.07.2019	1345	HB.Mytilisepta.virgata.HK	HB.Mytilisepta.virgata.HK	Mytilisepta.virgata	Autobranchia	bivalves	bivalves	Low	Morton_etal_1983	filter_feeder	Morton_1995	Suspension_particles	Taylor_etal_1993
HC1	HC1	HK	14.07.2019	1345	HC.Cellana.toreuma.HK	HC.Cellana.toreuma.HK	Cellana.toreuma	Patellogastropoda	limpet	limpet	Mid 	Harper_etal_2001_Chow_2004	grazer	Williams_1993_Villarta_2015	algae	Williams_1993_Villarta_2015
HC2	HC2	HK	14.07.2019	1345	HC.Cellana.toreuma.HK	HC.Cellana.toreuma.HK	Cellana.toreuma	Patellogastropoda	limpet	limpet	Mid 	Harper_etal_2001_Chow_2004	grazer	Williams_1993_Villarta_2015	algae	Williams_1993_Villarta_2015
HC3	HC3	HK	14.07.2019	1345	HC.Cellana.toreuma.HK	HC.Cellana.toreuma.HK	Cellana.toreuma	Patellogastropoda	limpet	limpet	Mid 	Harper_etal_2001_Chow_2004	grazer	Williams_1993_Villarta_2015	algae	Williams_1993_Villarta_2015
HC4	HC4	HK	14.07.2019	1345	HC.Cellana.toreuma.HK	HC.Cellana.toreuma.HK	Cellana.toreuma	Patellogastropoda	limpet	limpet	Mid 	Harper_etal_2001_Chow_2004	grazer	Williams_1993_Villarta_2015	algae	Williams_1993_Villarta_2015
