OTU ID	Cellana.toreuma	Saccostrea.mordax	Echinolittorina.malaccana	Mytilisepta.virgata	Tenguella.musiva	Echinolittorina.radiata	Isognomon.nucleus
e5ab73c25f268721ac0782e226da907c	0	2	0	0	0	5	0
25b61640d6816b1433ebd538c77fac8d	0	0	0	0	0	2	2
72d7381dd63dc92d7c73d5c1dfb1fbb2	5	0	0	0	0	0	0
5d8132d4e23da537a90a4deea707ab51	0	0	0	0	0	0	35
7a23137ae22954099c8b23fdeb94a245	0	16	0	16	25	0	0
bd53a058932b3084c241a03af0e53c0b	0	0	0	3	0	0	0
66d2c2ed3db29b947d2759375c2d7165	0	70	0	0	0	0	0
4177cc736e16d0399ecd1a0587b512c7	0	0	12	0	0	0	0
a1b6faa9832964a29a6cd669229f2f8c	0	0	0	0	0	0	7
c572577abe157cab8a5e7db42450a678	0	0	0	0	0	0	3
6b3784b7611c33197c6149bd63f13b44	0	0	0	0	0	0	3
d196d6655f665379105c2479eebf1a8a	1876	15	9	0	0	34	0
c091d6f247f25cf899361577e58a92e7	5	0	0	1	0	0	0
990062cc867155613e3d434c09b0bd94	0	0	0	0	0	7081	0
ed15afb114135d718ba27fc912e5762e	0	13	0	0	0	0	0
f449500824829cddc82ce61f90e0779a	0	10	4	0	0	44	4
f1567392e47461743debf16bab88bb00	0	0	0	0	0	6	0
bce27cf2e31207fdd4902250e9420cd8	7	0	0	0	6	204	3
6fe92afed267af5a327a2b0f59175387	3	0	0	0	0	0	0
9a859cd128bf384946d2cfe610ac77c9	0	0	10	0	0	0	0
0034ed79c85b8c953c102891c532e202	0	0	0	0	0	6	2
55a94cb8634707a44aafee78093da747	0	0	0	2	0	0	0
0ac38162249d02c661e40ea849fceb9e	0	0	0	2	0	0	0
b08b69f6a9154b70b0ce50bf39fc5a20	0	0	0	0	0	8	0
54ef01d8894439dc9a38a51478945965	0	0	27	0	0	0	0
3f0333e8f610ba5a88cf5d6f47fef2c9	0	0	0	92	0	0	0
523db7b28db6dd774ca4944bbd3870c9	0	2	0	48	0	0	0
9eedc5e5176c6ffd4a8588c433ba6fdb	0	0	12	0	0	0	0
5cb705f8adc2ccba70b60c124029df25	5	14	4	0	0	0	21
8326ee8ecbc73f1cbbbcf746a208abf4	0	0	0	0	0	51	0
a53b21a6d36ce5ee25d3d396133b2768	0	0	21	0	0	0	3
3f87f7440eac66acb12de7d63fd79ad8	0	0	0	2	0	0	2
03e1032c0c2040b83a0d8addc5601ea3	2021	0	0	0	0	0	0
c956701f6c2e74bad8bfdf5480921fdc	0	6	12	0	0	0	0
2511876d632d95c64c698be3bb084649	0	0	0	0	0	90	0
f68a8b9a6607993fdbeb93b27c2a2ff2	0	0	0	0	0	5	0
affa993f9cba9a560112a28e7c2ec978	0	0	0	4	0	0	0
0599abbc1088c5ea4fca68bd3696f555	0	0	0	0	0	2	0
37ce1a44c271b28a78d68655febf10fb	0	354	0	6	28	0	16
c01c6b443e34a74810f3376241b07844	0	0	13	0	0	0	0
afca65dc4d9e40d29fca9c2fd1936a8e	0	8	0	0	0	0	0
c779810253297f0a29174b2fe5ce514f	0	0	0	0	0	0	7
bdb0c02a7d2e5d2d0b99036f2fa9c2e9	0	4	0	0	0	0	0
d4352dcad6666754846b1f4d547e7a73	7	2	1	59	0	0	16
ade94c1efa3dac2c0063f1a6dc682356	0	0	0	0	0	20	0
c7c921162aa65412f2200486454e4815	6	0	0	0	0	0	0
df1eabdac48430ec23b85843dfd46265	0	0	0	0	0	0	400
03ed98337cfddd03f286f649079c41bb	0	0	0	0	199	0	0
247acf98a2901c2829519fb9d21294f9	0	0	0	0	0	0	36
26f7f62897765c9d56adbdb4f232fbee	2	0	0	4	0	0	0
08e6bf8aa6e3bf2094c998314243a01c	0	18	0	0	0	4	0
94e96bde71d82f0a58444d69309c94c0	0	0	0	0	0	44	0
f3b9b3df09ed1dec049c8b5556ef2399	0	0	0	0	0	11	10
2a0115bdbaab560cacef8b3015ed9c66	1	0	0	2	0	3	0
0ab4f6bfb7f252a64b749168d64d04ec	0	0	0	0	0	23	2
acfce70779741797c1c33c09e95d305b	0	0	0	0	0	0	3157
0e1dba9e2abccc9d302082bed4b90374	0	3	0	0	0	21	0
7130df835d904c099e8e9ea4dcd3abe7	0	0	0	0	0	19	0
308f417de8c1d87a629cbbe830bd0437	0	0	0	2	0	39	146
29dfb97b22245a39f4f54cb64a8b4ba1	0	0	0	0	0	0	12
