OTU ID	Mytilisepta.virgata	Cellana.toreuma	Siphonaria.laciniosa	Saccostrea.cucullata	Lunella.granulata	Echinolittorina.malaccana	Reishia.clavigera	Barbatia.virescens	Monodonta.labio	Saccostrea.mordax	Tenguella.musiva	Echinolittorina.radiata	Isognomon.nucleus
d8e197de2ff1ef4e979d20c64699045f	0	0	0	0	534	0	0	0	0	0	0	0	0
e5ab73c25f268721ac0782e226da907c	2	0	0	0	1	0	0	0	0	2	0	5	0
72782cfa52ddf426d11bd980d0e10346	0	1	38	0	0	0	0	0	0	0	0	0	0
cb51c9da939e7b3003bc133f196a32b7	7	0	0	0	0	0	0	10	0	0	0	0	0
7a501b759d6430d9a6018ffbec80d885	0	0	0	0	0	0	0	0	2022	0	0	0	0
20999a895fcb8f3ffeb362a84de0f04e	962	2	1	0	0	0	0	0	0	0	0	0	0
d80dd6ccdd887cb12b7aef7ccfd75b97	0	0	0	0	0	125	0	0	0	0	0	0	0
25b61640d6816b1433ebd538c77fac8d	0	0	0	0	0	0	0	0	0	0	0	2	2
72d7381dd63dc92d7c73d5c1dfb1fbb2	0	3	0	0	0	0	0	0	0	0	0	0	0
5d8132d4e23da537a90a4deea707ab51	0	0	0	0	0	0	0	7	0	0	0	0	35
7a23137ae22954099c8b23fdeb94a245	8	0	12	0	0	0	0	0	0	16	25	0	0
bd53a058932b3084c241a03af0e53c0b	2	0	0	99	0	0	0	0	0	0	0	0	0
66d2c2ed3db29b947d2759375c2d7165	0	0	0	60	0	0	0	0	0	70	0	0	0
75840da886ac2418c4202014ff087d1a	1	0	0	0	0	0	0	0	2	0	0	0	0
876dd4e8c1b9c2e861e7c9f82c7b5f20	0	0	0	0	0	0	0	174	0	0	0	0	0
4177cc736e16d0399ecd1a0587b512c7	0	0	0	0	0	7	0	0	0	0	0	0	0
a1b6faa9832964a29a6cd669229f2f8c	0	0	0	0	0	0	0	0	0	0	0	0	7
c572577abe157cab8a5e7db42450a678	0	0	0	0	0	0	0	0	0	0	0	0	3
6b3784b7611c33197c6149bd63f13b44	0	0	0	0	0	0	0	0	0	0	0	0	3
d196d6655f665379105c2479eebf1a8a	0	938	0	0	0	5	0	0	0	15	0	34	0
c091d6f247f25cf899361577e58a92e7	1	3	0	0	0	0	0	0	0	0	0	0	0
990062cc867155613e3d434c09b0bd94	0	0	0	2	0	0	0	0	0	0	0	7081	0
c8556002a89238c486a7000ace61b113	0	0	5	4	3973	0	0	0	0	0	0	0	0
b8fa17c2b3af9a4a9200306e98fe33cc	8	0	0	0	0	0	0	0	0	0	0	0	0
2d9427d238b4f75d241ed67b2854eada	0	0	0	0	0	0	0	0	127	0	0	0	0
ed15afb114135d718ba27fc912e5762e	1	0	0	0	0	0	0	0	0	13	0	0	0
585ff3bff13a2de80596f8e836e86dac	9	0	0	0	0	0	0	0	0	0	0	0	0
b62b43586498f8052a0fc428e1a0f4e1	0	0	35	0	0	0	0	0	0	0	0	0	0
f449500824829cddc82ce61f90e0779a	0	0	0	0	0	2	0	0	0	10	0	44	4
1a8346be2af31cf3fa6f1c92ac743790	0	1	0	0	0	0	0	0	3	0	0	0	0
f1567392e47461743debf16bab88bb00	0	0	0	0	0	0	0	0	0	0	0	6	0
bce27cf2e31207fdd4902250e9420cd8	0	4	0	0	0	0	0	0	0	0	6	204	3
